Matricula,Curso,HorasOrientadas,Medida,Setor,DiasSuspensao,Sexo,Serie,Perdeu_Residencia
2021300049,0,0,4,0,5,0,3,0
76201,0,25,2,3,0,1,3,0
263168,0,30,2,0,0,1,3,0
57207,0,30,2,3,0,1,3,0
79200,0,0,0,0,0,0,3,0
52221,0,0,3,0,0,1,3,1
76201,0,0,4,0,5,1,3,0
185191,0,0,0,0,0,1,2,0
56227,0,17,2,4,0,1,2,0
224200,0,10,2,4,0,1,2,0
43206,0,0,3,0,0,1,1,1
2020308884,1,17,2,3,0,0,3,0
49220,0,0,0,0,0,1,1,0
54208,0,17,2,1,0,0,3,0
121207,0,10,2,3,0,0,3,0
12220,0,17,2,2,0,0,1,0
154202,0,25,2,2,0,0,3,0
93220,0,0,0,0,0,1,1,0
115207,0,0,1,0,0,1,3,0
115207,0,0,4,0,5,1,3,0
150207,0,17,2,5,0,1,3,0
2020308884,1,17,2,1,0,0,3,0
2020311342,1,0,4,0,5,1,3,0
9,0,0,0,0,0,1,2,0
4227,0,17,2,4,0,0,1,0
13,0,0,4,0,5,1,2,0
81213,0,15,2,6,0,1,2,0
70203,0,0,1,0,0,0,3,0
32220,0,25,2,1,0,1,1,0
135208,0,0,4,0,5,0,3,0
70211,0,0,3,0,0,1,3,1
141208,0,30,2,2,0,0,3,0
2022306600,1,10,2,2,0,1,2,0
81221,0,0,1,0,0,1,1,0
132209,0,25,2,4,0,1,2,0
49212,0,15,2,5,0,1,2,0
154202,0,0,4,0,5,0,3,0
83208,0,30,2,2,0,0,3,0
19224,0,20,2,3,0,1,1,0
150207,0,0,3,0,0,0,3,1
25216,0,15,2,6,0,1,2,0
143200,0,0,3,0,0,0,3,1
69205,0,10,2,3,0,1,3,0
12,0,0,1,0,0,1,2,0
54208,0,17,2,6,0,0,3,0
150207,0,17,2,3,0,1,3,0
116203,0,0,3,0,0,1,1,1
39217,0,17,2,8,0,1,2,0
46221,0,0,1,0,0,1,1,0
132209,0,25,2,1,0,1,2,0
191205,0,20,2,5,0,1,3,0
